point_index,timestamp_utc,status,setpoints_json,measurements_json,trace_name,trace_points,trace_peak_dbm
73,2026-09-03T07:58:55.272139+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 22147474.7475, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.986771
74,2026-09-03T07:58:55.399384+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 22449494.9495, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.007752
75,2026-09-03T07:58:55.558374+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 22751515.1515, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.045137
76,2026-09-03T07:58:55.721765+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 23053535.3535, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.04306699999999
77,2026-09-03T07:58:55.956810+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 23355555.5556, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.061838
78,2026-09-03T07:58:56.079008+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 23657575.7576, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.08399899999999
79,2026-09-03T07:58:56.241704+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 23959595.9596, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.116789999999995
80,2026-09-03T07:58:56.404320+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 24261616.1616, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.170608
81,2026-09-03T07:58:56.540288+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 24563636.3636, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.17765
82,2026-09-03T07:58:56.680199+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 24865656.5657, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.150719
83,2026-09-03T07:58:56.843884+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 25167676.7677, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.134905
84,2026-09-03T07:58:57.053853+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 25469696.9697, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.114585
85,2026-09-03T07:58:57.212457+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 25771717.1717, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.074083
86,2026-09-03T07:58:57.382018+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 26073737.3737, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.056256
87,2026-09-03T07:58:57.615577+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 26375757.5758, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.063121
88,2026-09-03T07:58:57.770824+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 26677777.7778, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.04551099999999
89,2026-09-03T07:58:57.959366+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 26979797.9798, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.982628
90,2026-09-03T07:58:58.076839+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 27281818.1818, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.967714
91,2026-09-03T07:58:58.232739+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 27583838.3838, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.970511
92,2026-09-03T07:58:58.401555+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 27885858.5859, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.00063299999999
93,2026-09-03T07:58:58.577975+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 28187878.7879, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.954692
94,2026-09-03T07:58:58.753678+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 28489898.9899, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.923784999999995
95,2026-09-03T07:58:59.020412+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 28791919.1919, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.965581
96,2026-09-03T07:58:59.219799+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 29093939.3939, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.933768
97,2026-09-03T07:58:59.366097+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 29395959.596, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.904894
98,2026-09-03T07:58:59.515862+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 29697979.798, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.917931
99,2026-09-03T07:58:59.658965+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 30000000.0, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.886228
